City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
28,Bredasdorp,ZA,2020-05-04 03:28:22,-34.53,20.04,51.8,93,2,2.24
29,Gerash,IR,2020-05-04 03:28:22,27.67,54.14,64.4,93,0,3.33
30,Leningradskiy,RU,2020-05-04 03:28:23,69.38,178.42,32.29,90,0,1.3
31,Barrow,US,2020-05-04 03:28:23,71.29,-156.79,14.0,78,1,9.17
32,Port Hedland,AU,2020-05-04 03:28:23,-20.32,118.57,87.8,27,0,14.99
33,Voh,NC,2020-05-04 03:28:23,-20.97,164.7,75.24,83,98,12.77
34,Najran,SA,2020-05-04 03:28:23,17.49,44.13,68.0,94,75,9.17
35,Forio,IT,2020-05-04 03:28:23,40.73,13.86,62.01,53,81,16.06
36,Lagoa,PT,2020-05-04 03:28:23,39.05,-27.98,59.81,74,1,26.24
37,Alofi,NU,2020-05-04 03:28:23,-19.06,-169.92,80.6,83,0,6.93
38,Fairbanks,US,2020-05-04 03:26:58,64.84,-147.72,50.0,27,1,16.11
39,Georgetown,MY,2020-05-04 03:27:38,5.41,100.34,86.0,79,20,9.17
40,Sturgeon Falls,CA,2020-05-04 03:28:24,46.36,-79.93,43.0,86,90,11.41
41,Dunedin,NZ,2020-05-04 03:26:05,-45.87,170.5,54.0,83,17,1.99
42,Rawson,AR,2020-05-04 03:24:30,-43.3,-65.1,59.32,43,5,14.65
43,La Ronge,CA,2020-05-04 03:28:24,55.1,-105.28,39.2,64,75,4.7
44,Grand Gaube,MU,2020-05-04 03:28:24,-20.01,57.66,78.01,78,92,5.99
45,Teknaf,BD,2020-05-04 03:28:24,20.86,92.31,85.91,61,28,6.06
46,Lorengau,PG,2020-05-04 03:28:24,-2.02,147.27,85.21,76,100,5.64
47,Shenyang,CN,2020-05-04 03:26:11,41.79,123.43,51.8,57,40,15.66
48,Port Lincoln,AU,2020-05-04 03:28:25,-34.73,135.87,61.39,65,69,8.88
49,Taoudenni,ML,2020-05-04 03:28:25,22.68,-3.98,86.97,12,0,10.25
50,Mar Del Plata,AR,2020-05-04 03:28:25,-38.0,-57.56,57.99,87,100,12.75
51,Kapaa,US,2020-05-04 03:28:25,22.08,-159.32,78.8,65,20,23.04
52,Cherskiy,RU,2020-05-04 03:28:25,68.75,161.3,30.58,97,88,3.71
53,Mandiana,GN,2020-05-04 03:28:25,10.63,-8.68,81.91,60,36,7.34
54,Castro,BR,2020-05-04 03:28:25,-24.79,-50.01,51.46,72,9,6.42
55,Port Augusta,AU,2020-05-04 03:28:26,-32.5,137.77,62.6,59,0,8.05
56,Dourbali,TD,2020-05-04 03:28:26,11.81,15.86,86.27,37,95,9.33
57,Albany,US,2020-05-04 03:28:26,42.6,-73.97,64.99,45,51,1.01
58,Padang,ID,2020-05-04 03:28:26,-0.95,100.35,87.22,59,0,4.41
59,Upernavik,GL,2020-05-04 03:28:26,72.79,-56.15,16.7,92,100,6.55
60,Luderitz,NA,2020-05-04 03:28:26,-26.65,15.16,63.5,63,37,13.22
61,Tilichiki,RU,2020-05-04 03:28:26,60.47,166.1,29.46,94,100,9.17
62,Carnarvon,AU,2020-05-04 03:26:53,-24.87,113.63,77.0,78,0,10.29
63,Tasiilaq,GL,2020-05-04 03:28:26,65.61,-37.64,30.2,92,100,27.51
64,Yellowknife,CA,2020-05-04 03:28:27,62.46,-114.35,46.4,61,75,4.7
65,Port-Gentil,GA,2020-05-04 03:28:27,-0.72,8.78,81.41,84,100,7.45
66,Vaini,TO,2020-05-04 03:28:27,-21.2,-175.2,82.4,74,20,6.93
67,Broome,US,2020-05-04 03:28:27,42.25,-75.83,55.99,59,1,12.75
68,Matay,EG,2020-05-04 03:28:27,28.42,30.78,66.79,48,0,6.98
69,Tuatapere,NZ,2020-05-04 03:28:27,-46.13,167.68,46.56,78,92,11.54
70,Korem,ET,2020-05-04 03:28:27,12.51,39.52,55.56,42,45,0.92
71,Avarua,CK,2020-05-04 03:28:27,-21.21,-159.78,78.8,78,29,6.93
72,Saint-Ambroise,CA,2020-05-04 03:28:28,48.55,-71.33,42.01,82,91,0.63
73,Butaritari,KI,2020-05-04 03:28:28,3.07,172.79,82.65,80,99,9.04
74,Richards Bay,ZA,2020-05-04 03:28:28,-28.78,32.04,68.11,82,85,9.75
75,Russell,US,2020-05-04 03:28:28,32.35,-85.2,71.6,88,1,5.64
76,Kruisfontein,ZA,2020-05-04 03:28:28,-34.0,24.73,56.71,86,100,10.71
77,Jabinyanah,TN,2020-05-04 03:28:28,35.03,10.91,64.4,72,39,4.7
78,Muniz Freire,BR,2020-05-04 03:28:28,-20.46,-41.41,60.28,76,72,2.62
79,Fernie,CA,2020-05-04 03:28:29,49.5,-115.07,44.6,42,40,9.17
80,Dikson,RU,2020-05-04 03:28:29,73.51,80.55,12.34,94,51,9.62
81,Kununurra,AU,2020-05-04 03:28:29,-15.77,128.73,84.2,17,70,13.87
82,Kaitangata,NZ,2020-05-04 03:28:29,-46.28,169.85,50.0,79,82,11.01
83,Saint-Pierre,RE,2020-05-04 03:28:29,-21.34,55.48,73.99,73,0,6.93
84,Karratha,AU,2020-05-04 03:28:29,-20.74,116.85,85.08,24,3,16.84
85,Asyut,EG,2020-05-04 03:28:29,27.18,31.18,66.2,45,67,9.17
86,Rundu,NA,2020-05-04 03:28:29,-17.93,19.77,60.49,38,29,3.04
87,Hobyo,SO,2020-05-04 03:28:30,5.35,48.53,84.18,74,75,16.04
88,New Norfolk,AU,2020-05-04 03:28:30,-42.78,147.06,61.0,72,79,1.99
